county,year,access_to_exercise_opps,limited_access_to_healthy_food,adult_obesity,physical_inactivity,excessive_drinking,diabetic_screening,adult_smoking,diabetes,median_household_income,population,pop_over_65,pop_under_18,access_to_recreational_facilities,access_to_healthy_foods,binge_drinking,colorectal_cancer_incidence_rate,pop_between_18_and_65
Culpeper,2012,NA,0.12,32.4,24.1,14.6,86.574074074,16.8,10.1,56897,46502,11.7,20.4,8.6017805686,0.12,23.1,42.5,67.9
Cumberland,2012,NA,36.5,33.7,28.8,NA,86.682808717,NA,12.7,39394,9757,16.3,25.9,0,36.5,50,NA,57.800000000000004
Dickenson,2012,NA,0,31.3,30.2,4.5,86.40776699,33.7,11,32955,16087,16.3,22.1,0,0,42.9,NA,61.6
Dinwiddie,2012,NA,22.21,33.7,24.4,15.4,83.480825959,32.1,11.2,50535,26338,11.7,20.4,7.5935910092,22.21,37.5,NA,67.9
Essex,2012,NA,4.4,32.5,28.6,8.5,85.714285714,NA,13,43125,11189,18,22.2,35.749396729,4.4,12.5,NA,59.8
Fairfax,2012,NA,1.7,23.5,18.5,20.3,81.171935235,12.8,8.1,102726,1037605,9.8,21.5,11.854221982,1.7,82.6,27.5,68.7
Fauquier,2012,NA,12.9,26.8,20.8,14.9,88.311688312,17.5,9.6,83176,68010,11.7,24.9,13.233348037,12.9,33.3,29.8,63.4
Floyd,2012,NA,9.07,27.5,24.7,17.7,92.083333333,NA,10.8,44188,15013,17.2,25.1,6.660893892,9.07,40,NA,57.699999999999996
Fluvanna,2012,NA,19.35,29.5,21.8,19.8,89.347079038,10.1,10.5,63869,25732,14.7,20.8,7.7724234416,19.35,40,NA,64.5
Franklin,2012,NA,27.1,29.5,25.7,10.3,89.635854342,23.9,11,40931,51924,16.3,22.7,7.7035667514,27.1,30,31.2,61
Frederick,2012,NA,14.4,28.5,26.3,14,89.082125604,21.6,8.9,62173,74972,11.4,20.5,10.670650376,14.4,44.4,31.7,68.1
Giles,2012,NA,22.16,28.6,28.8,8.6,87.331536388,22.1,11.3,40773,17358,16.9,25.6,0,22.16,22.2,NA,57.49999999999999
Gloucester,2012,NA,17.57,28.7,25,19.6,85.57312253,21.6,9.5,58893,39184,13.7,21.5,10.208248265,17.57,50,37.8,64.8
Goochland,2012,NA,16.65,26.7,21.8,15.1,86.19047619,15.6,10.2,81938,21311,13,22.2,4.6924123692,16.65,20,NA,64.8
Grayson,2012,NA,5.44,28.5,28.5,8.9,85.663082437,NA,12,31930,15793,20.8,19.9,0,5.44,16.7,60.4,59.300000000000004
Greene,2012,NA,21.9,30.6,23.7,NA,85.9030837,NA,9.4,57592,18421,12.5,18.6,5.4285869388,21.9,66.7,NA,68.9
Greensville,2012,NA,0.55,34.4,29.7,5.2,92.307692308,18.7,11.5,38702,12049,10.8,25.4,8.2994439373,0.55,66.7,NA,63.800000000000004
Halifax,2012,NA,6.22,33.4,32.9,8.3,85.175202156,23.1,14.6,35879,35258,19.8,18.4,11.344942992,6.22,55.6,NA,61.800000000000004
Hanover,2012,NA,8.01,26.5,20.4,18.8,88.695652174,18.8,9.3,72319,99933,12.8,22,13.00871584,8.01,87.5,46.3,65.2
Henrico,2012,NA,4.75,28.5,25.8,18.8,84.155363748,15.7,9.1,59128,296415,12.7,25,15.856147631,4.75,92.9,44.8,62.3
Henry,2012,NA,0.3,28.5,32.6,10.6,85.033112583,30.5,12.1,32669,54888,17.5,23.8,9.1094592625,0.3,71.4,36.4,58.7
Highland,2012,NA,37.05,26.8,24.6,NA,87.234042553,NA,11.6,35793,2338,24.1,20.5,0,37.05,16.7,NA,55.400000000000006
Isle of Wight,2012,NA,21.03,31.2,27.9,15.8,84.863945578,15,13.1,62224,35877,13.9,16.2,11.149204226,21.03,60,48.1,69.89999999999999
James City,2012,NA,11.67,26.8,21.3,11.6,87.989203779,12.7,9.8,74241,63735,19.2,22.7,15.689966267,11.67,66.7,37.5,58.099999999999994
King and Queen,2012,NA,31.2,34.1,29.1,NA,91.935483871,NA,12.8,44277,6796,17.1,20.8,0,31.2,0,NA,62.10000000000001
King George,2012,NA,0,28.3,21.3,NA,84.210526316,NA,9.2,77200,23557,9.4,19.4,12.735068133,0,50,NA,71.19999999999999
King William,2012,NA,18.68,30,28.6,12.2,84.375,20.4,10,64205,16225,11.7,27,18.489984592,18.68,50,NA,61.3
Lancaster,2012,NA,0.66,29.9,31.5,25.3,86.956521739,NA,14.2,44296,11230,31.5,25.3,8.9047195013,0.66,60,NA,43.2
Lee,2012,NA,0,34.1,34,9.3,81.908548708,24.8,11.5,31116,25166,14.9,16.7,0,0,37.5,NA,68.39999999999999
